competition_name,season_name,competition_short,tournament_id,match_id,team,total_events,shots,passes,carries,pressures,recoveries,duels,interceptions,blocks,clearances,xg,completed_passes,pass_completion_pct
FIFA World Cup,2022,World Cup,World Cup_2022,3869118,Senegal,1419,10,408,282,137,36,25,9,20,21,0.972806433,323,79.16666666666666
FIFA World Cup,2022,World Cup,World Cup_2022,3869151,Argentina,2459,14,728,646,127,47,33,16,13,25,1.481579303,646,88.73626373626374
FIFA World Cup,2022,World Cup,World Cup_2022,3869151,Australia,1691,5,478,320,216,42,30,9,23,11,0.42611782,384,80.3347280334728
FIFA World Cup,2022,World Cup,World Cup_2022,3869152,France,1954,16,593,473,117,38,21,15,18,12,1.126374493,505,85.16020236087691
FIFA World Cup,2022,World Cup,World Cup_2022,3869152,Poland,1664,12,488,390,120,45,38,8,16,22,1.593527124,406,83.19672131147541
FIFA World Cup,2022,World Cup,World Cup_2022,3869219,Croatia,2563,21,796,575,150,62,41,10,34,43,3.988397506,657,82.53768844221105
FIFA World Cup,2022,World Cup,World Cup_2022,3869219,Japan,1996,17,582,401,133,70,51,21,31,34,4.202976766,436,74.91408934707904
FIFA World Cup,2022,World Cup,World Cup_2022,3869220,Morocco,1371,10,365,242,177,51,41,18,20,35,3.704374606,250,68.4931506849315
FIFA World Cup,2022,World Cup,World Cup_2022,3869220,Spain,3379,15,1068,867,152,50,29,9,18,10,2.8454908599,960,89.8876404494382
FIFA World Cup,2022,World Cup,World Cup_2022,3869253,Brazil,2104,18,641,510,103,42,32,8,16,10,3.261424097,566,88.29953198127926
FIFA World Cup,2022,World Cup,World Cup_2022,3869253,South Korea,1942,8,555,431,175,38,27,22,21,15,0.3448272774,476,85.76576576576576
FIFA World Cup,2022,World Cup,World Cup_2022,3869254,Portugal,1687,15,488,373,172,33,28,10,17,16,2.284260007,404,82.78688524590164
FIFA World Cup,2022,World Cup,World Cup_2022,3869254,Switzerland,1735,10,528,439,106,29,20,9,14,15,1.2718271719999998,438,82.95454545454545
FIFA World Cup,2022,World Cup,World Cup_2022,3869321,Argentina,2297,19,640,514,190,48,43,10,16,27,5.856697131,531,82.96875
FIFA World Cup,2022,World Cup,World Cup_2022,3869321,Netherlands,2411,12,691,530,216,49,33,24,12,27,4.487037827,572,82.77858176555716
FIFA World Cup,2022,World Cup,World Cup_2022,3869354,England,1825,16,554,427,112,42,43,9,8,11,2.352551477,465,83.93501805054152
FIFA World Cup,2022,World Cup,World Cup_2022,3869354,France,1414,8,412,299,118,34,31,7,14,17,0.8393620340000001,328,79.6116504854369
FIFA World Cup,2022,World Cup,World Cup_2022,3869420,Brazil,2572,24,747,600,164,57,36,8,29,13,4.9503305555,652,87.28246318607763
FIFA World Cup,2022,World Cup,World Cup_2022,3869420,Croatia,2573,13,737,657,151,48,48,14,22,34,3.7668888039999997,639,86.70284938941656
