competition_name,season_name,competition_short,tournament_id,team,player,position,current_role,target_role,role_fit_score,role_fit_rank
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Houssem Aouar,Left Center Midfield,Balanced Role,Pressing Player,30.73,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Houssem Aouar,Left Center Midfield,Balanced Role,Ball Winner,14.47,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Houssem Aouar,Left Center Midfield,Balanced Role,Balanced Role,32.98,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Islam Slimani,Center Attacking Midfield,Balanced Role,Box Threat,56.66,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Islam Slimani,Center Attacking Midfield,Balanced Role,Tempo Controller,9.35,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Islam Slimani,Center Attacking Midfield,Balanced Role,Progressive Carrier,3.96,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Islam Slimani,Center Attacking Midfield,Balanced Role,Pressing Player,12.78,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Islam Slimani,Center Attacking Midfield,Balanced Role,Ball Winner,12.09,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Islam Slimani,Center Attacking Midfield,Balanced Role,Balanced Role,18.64,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ismael Bennacer,Left Center Midfield,Progressive Carrier,Box Threat,65.04,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ismael Bennacer,Left Center Midfield,Progressive Carrier,Tempo Controller,75.32,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ismael Bennacer,Left Center Midfield,Progressive Carrier,Progressive Carrier,86.78,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ismael Bennacer,Left Center Midfield,Progressive Carrier,Pressing Player,64.76,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ismael Bennacer,Left Center Midfield,Progressive Carrier,Ball Winner,38.27,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ismael Bennacer,Left Center Midfield,Progressive Carrier,Balanced Role,65.37,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Kévin Daniel Van Den Kerkhof,Right Back,Balanced Role,Box Threat,64.31,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Kévin Daniel Van Den Kerkhof,Right Back,Balanced Role,Tempo Controller,31.75,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Kévin Daniel Van Den Kerkhof,Right Back,Balanced Role,Progressive Carrier,10.35,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Kévin Daniel Van Den Kerkhof,Right Back,Balanced Role,Pressing Player,15.31,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Kévin Daniel Van Den Kerkhof,Right Back,Balanced Role,Ball Winner,19.54,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Kévin Daniel Van Den Kerkhof,Right Back,Balanced Role,Balanced Role,27.1,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed Amine Tougai,Left Center Back,Tempo Controller,Box Threat,20.04,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed Amine Tougai,Left Center Back,Tempo Controller,Tempo Controller,97.09,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed Amine Tougai,Left Center Back,Tempo Controller,Progressive Carrier,100.0,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed Amine Tougai,Left Center Back,Tempo Controller,Pressing Player,33.59,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed Amine Tougai,Left Center Back,Tempo Controller,Ball Winner,46.91,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed Amine Tougai,Left Center Back,Tempo Controller,Balanced Role,58.72,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed El Amine Amoura,Center Attacking Midfield,Balanced Role,Box Threat,75.26,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed El Amine Amoura,Center Attacking Midfield,Balanced Role,Tempo Controller,37.65,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed El Amine Amoura,Center Attacking Midfield,Balanced Role,Progressive Carrier,55.95,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed El Amine Amoura,Center Attacking Midfield,Balanced Role,Pressing Player,68.83,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed El Amine Amoura,Center Attacking Midfield,Balanced Role,Ball Winner,47.0,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed El Amine Amoura,Center Attacking Midfield,Balanced Role,Balanced Role,56.82,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed Youcef Belaïli,Left Wing,Box Threat,Box Threat,91.78,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed Youcef Belaïli,Left Wing,Box Threat,Tempo Controller,66.12,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed Youcef Belaïli,Left Wing,Box Threat,Progressive Carrier,86.78,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed Youcef Belaïli,Left Wing,Box Threat,Pressing Player,33.59,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed Youcef Belaïli,Left Wing,Box Threat,Ball Winner,63.84,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Mohamed Youcef Belaïli,Left Wing,Box Threat,Balanced Role,71.62,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Nabil Bentaleb,Right Defensive Midfield,Tempo Controller,Box Threat,48.04,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Nabil Bentaleb,Right Defensive Midfield,Tempo Controller,Tempo Controller,79.3,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Nabil Bentaleb,Right Defensive Midfield,Tempo Controller,Progressive Carrier,77.64,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Nabil Bentaleb,Right Defensive Midfield,Tempo Controller,Pressing Player,36.12,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Nabil Bentaleb,Right Defensive Midfield,Tempo Controller,Ball Winner,56.81,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Nabil Bentaleb,Right Defensive Midfield,Tempo Controller,Balanced Role,57.98,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ramiz Larbi Zerrouki,Center Defensive Midfield,Tempo Controller,Box Threat,20.04,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ramiz Larbi Zerrouki,Center Defensive Midfield,Tempo Controller,Tempo Controller,85.97,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ramiz Larbi Zerrouki,Center Defensive Midfield,Tempo Controller,Progressive Carrier,93.61,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ramiz Larbi Zerrouki,Center Defensive Midfield,Tempo Controller,Pressing Player,67.07,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ramiz Larbi Zerrouki,Center Defensive Midfield,Tempo Controller,Ball Winner,78.26,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ramiz Larbi Zerrouki,Center Defensive Midfield,Tempo Controller,Balanced Role,70.19,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ramy Bensebaini,Left Center Back,Tempo Controller,Box Threat,20.04,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ramy Bensebaini,Left Center Back,Tempo Controller,Tempo Controller,93.66,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ramy Bensebaini,Left Center Back,Tempo Controller,Progressive Carrier,98.46,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ramy Bensebaini,Left Center Back,Tempo Controller,Pressing Player,40.53,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ramy Bensebaini,Left Center Back,Tempo Controller,Ball Winner,87.35,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Ramy Bensebaini,Left Center Back,Tempo Controller,Balanced Role,68.22,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Rayan Aït Nouri,Left Back,Tempo Controller,Box Threat,62.82,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Rayan Aït Nouri,Left Back,Tempo Controller,Tempo Controller,91.22,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Rayan Aït Nouri,Left Back,Tempo Controller,Progressive Carrier,99.56,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Rayan Aït Nouri,Left Back,Tempo Controller,Pressing Player,76.76,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Rayan Aït Nouri,Left Back,Tempo Controller,Ball Winner,86.24,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Rayan Aït Nouri,Left Back,Tempo Controller,Balanced Role,85.19,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Riyad Mahrez,Right Wing,Balanced Role,Box Threat,44.52,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Riyad Mahrez,Right Wing,Balanced Role,Tempo Controller,55.31,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Riyad Mahrez,Right Wing,Balanced Role,Progressive Carrier,63.44,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Riyad Mahrez,Right Wing,Balanced Role,Pressing Player,33.59,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Riyad Mahrez,Right Wing,Balanced Role,Ball Winner,68.57,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Riyad Mahrez,Right Wing,Balanced Role,Balanced Role,53.73,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Sofiane Feghouli,Center Attacking Midfield,Balanced Role,Box Threat,66.55,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Sofiane Feghouli,Center Attacking Midfield,Balanced Role,Tempo Controller,42.26,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Sofiane Feghouli,Center Attacking Midfield,Balanced Role,Progressive Carrier,25.33,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Sofiane Feghouli,Center Attacking Midfield,Balanced Role,Pressing Player,40.53,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Sofiane Feghouli,Center Attacking Midfield,Balanced Role,Ball Winner,33.44,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Sofiane Feghouli,Center Attacking Midfield,Balanced Role,Balanced Role,36.02,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Youcef Atal,Right Back,Tempo Controller,Box Threat,63.0,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Youcef Atal,Right Back,Tempo Controller,Tempo Controller,82.79,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Youcef Atal,Right Back,Tempo Controller,Progressive Carrier,86.01,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Youcef Atal,Right Back,Tempo Controller,Pressing Player,43.61,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Youcef Atal,Right Back,Tempo Controller,Ball Winner,77.56,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,Youcef Atal,Right Back,Tempo Controller,Balanced Role,70.72,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Adilson Cipriano da Cruz,Goalkeeper,Goalkeeper,Box Threat,20.04,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Adilson Cipriano da Cruz,Goalkeeper,Goalkeeper,Tempo Controller,53.84,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Adilson Cipriano da Cruz,Goalkeeper,Goalkeeper,Progressive Carrier,25.33,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Adilson Cipriano da Cruz,Goalkeeper,Goalkeeper,Pressing Player,3.08,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Adilson Cipriano da Cruz,Goalkeeper,Goalkeeper,Ball Winner,65.66,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Adilson Cipriano da Cruz,Goalkeeper,Goalkeeper,Balanced Role,36.97,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Alfredo Kulembe Ribeiro,Right Center Midfield,Pressing Player,Box Threat,76.34,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Alfredo Kulembe Ribeiro,Right Center Midfield,Pressing Player,Tempo Controller,65.84,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Alfredo Kulembe Ribeiro,Right Center Midfield,Pressing Player,Progressive Carrier,69.38,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Alfredo Kulembe Ribeiro,Right Center Midfield,Pressing Player,Pressing Player,99.89,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Alfredo Kulembe Ribeiro,Right Center Midfield,Pressing Player,Ball Winner,84.78,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Alfredo Kulembe Ribeiro,Right Center Midfield,Pressing Player,Balanced Role,82.19,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Ambrosini Antonio Cabaça Salvador,Left Wing,Balanced Role,Box Threat,20.04,3.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Ambrosini Antonio Cabaça Salvador,Left Wing,Balanced Role,Tempo Controller,32.15,1.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Ambrosini Antonio Cabaça Salvador,Left Wing,Balanced Role,Progressive Carrier,5.07,6.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Ambrosini Antonio Cabaça Salvador,Left Wing,Balanced Role,Pressing Player,28.63,2.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Ambrosini Antonio Cabaça Salvador,Left Wing,Balanced Role,Ball Winner,8.77,5.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Ambrosini Antonio Cabaça Salvador,Left Wing,Balanced Role,Balanced Role,13.25,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Bruno Lourenço Pinto de Almeida Paz,Left Center Midfield,Balanced Role,Box Threat,20.04,4.0
African Cup of Nations,2023,AFCON,AFCON_2023,Angola,Bruno Lourenço Pinto de Almeida Paz,Left Center Midfield,Balanced Role,Tempo Controller,18.18,6.0
