competition_name,season_name,competition_short,tournament_id,team,matches,shots,passes,carries,pressures,recoveries,duels,interceptions,blocks,clearances,xg,avg_pass_completion_pct,goals,wins,draws,losses,goals_for,goals_against,goal_difference,shots_per_match,passes_per_match,carries_per_match,pressures_per_match,recoveries_per_match,duels_per_match,interceptions_per_match,blocks_per_match,clearances_per_match,xg_per_match,goals_per_match,tempo,directness,pressing_intensity,defensive_activity,attacking_threat,shots_per_match_rank,passes_per_match_rank,carries_per_match_rank,pressures_per_match_rank,recoveries_per_match_rank,xg_per_match_rank,goals_per_match_rank,avg_pass_completion_pct_rank,tempo_rank,directness_rank,pressing_intensity_rank,defensive_activity_rank,attacking_threat_rank,general_style,offensive_style,defensive_style,strengths,weaknesses,most_used_formation,attack_score,build_up_score,defense_score,directness_score
FIFA World Cup,2022,World Cup,World Cup_2022,Costa Rica,3,11,1094,801,435,133,113,36,63,81,1.23,74.77,3,1,0,2,3,11,-8,3.67,364.67,267.0,145.0,44.33,37.67,12.0,21.0,27.0,0.41,1.0,631.67,1.01,189.33,97.67,1.71,0.03,0.03,0.06,0.88,0.47,0.06,0.45,0.12,0.03,0.03,0.91,0.84,0.03,High Intensity / Pressing,Balanced Attack,Aggressive Pressing,['High pressing intensity'],"['Limited chance generation', 'Low shot volume', 'Low possession volume', 'Low passing accuracy']",,15.08,6.88,75.31,3.12
FIFA World Cup,2022,World Cup,World Cup_2022,Croatia,7,87,4511,3674,949,332,248,85,130,157,13.17,84.03,8,2,4,1,8,7,1,12.43,644.43,524.86,135.57,47.43,35.43,12.14,18.57,22.43,1.88,1.14,1169.29,1.93,183.0,88.57,6.1,0.72,0.88,0.88,0.69,0.72,0.88,0.53,0.78,0.84,0.38,0.72,0.66,0.81,Possession / Control,Possession-Based Attack,Balanced Defense,"['Strong chance generation', 'High possession volume', 'Strong passing accuracy']",['No clear major weakness from selected indicators'],,74.22,84.69,69.69,37.5
FIFA World Cup,2022,World Cup,World Cup_2022,Denmark,3,35,1928,1627,337,129,121,33,59,64,3.19,83.74,1,0,1,2,1,3,-2,11.67,642.67,542.33,112.33,43.0,40.33,11.0,19.67,21.33,1.06,0.33,1185.0,1.82,155.33,92.33,5.31,0.59,0.84,0.97,0.19,0.33,0.34,0.09,0.72,0.94,0.28,0.19,0.78,0.56,Possession / Control,Possession-Based Attack,High Defensive Activity,['High possession volume'],['Low pressing activity'],,35.62,84.38,43.75,28.12
FIFA World Cup,2022,World Cup,World Cup_2022,Ecuador,3,30,1447,1076,417,131,117,32,60,51,3.81,79.54,4,1,1,1,4,3,1,10.0,482.33,358.67,139.0,43.67,39.0,10.67,20.0,17.0,1.27,1.33,841.0,2.07,182.67,86.67,4.76,0.39,0.47,0.47,0.78,0.38,0.59,0.7,0.5,0.47,0.5,0.66,0.56,0.41,Balanced / Mixed,Balanced Attack,Balanced Defense,['Balanced profile without one dominant strength'],['No clear major weakness from selected indicators'],,56.02,47.81,53.91,50.0
FIFA World Cup,2022,World Cup,World Cup_2022,England,5,63,3238,2624,485,189,148,46,71,58,8.74,86.29,13,3,1,1,13,4,9,12.6,647.6,524.8,97.0,37.8,29.6,9.2,14.2,11.6,1.75,2.6,1172.4,1.95,134.8,64.6,6.09,0.78,0.91,0.84,0.03,0.12,0.75,1.0,0.94,0.91,0.41,0.03,0.06,0.78,Possession / Control,High Chance Creation,Balanced Defense,"['Strong chance generation', 'High shot volume', 'High possession volume', 'Strong passing accuracy']","['Low pressing activity', 'Limited ball recovery activity']",,82.19,89.69,7.03,40.62
FIFA World Cup,2022,World Cup,World Cup_2022,France,7,106,3926,3174,905,310,244,95,125,114,14.96,83.28,16,5,1,1,16,8,8,15.14,560.86,453.43,129.29,44.29,34.86,13.57,17.86,16.29,2.14,2.29,1014.29,2.7,173.57,82.57,7.34,0.91,0.69,0.69,0.59,0.44,0.91,0.94,0.69,0.69,0.81,0.38,0.44,0.91,Attacking Threat,High Chance Creation,Balanced Defense,"['Strong chance generation', 'High shot volume', 'Direct attacking profile']",['No clear major weakness from selected indicators'],,91.41,68.75,41.56,81.25
FIFA World Cup,2022,World Cup,World Cup_2022,Germany,3,68,1963,1483,384,158,97,33,60,31,8.23,84.43,6,1,1,1,6,5,1,22.67,654.33,494.33,128.0,52.67,32.33,11.0,20.0,10.33,2.74,2.0,1148.67,3.46,180.67,73.67,10.71,1.0,0.94,0.75,0.52,0.89,0.97,0.83,0.81,0.81,1.0,0.62,0.19,1.0,Possession / Control,High Chance Creation,Recovery-Oriented,"['Strong chance generation', 'High shot volume', 'High possession volume', 'Strong passing accuracy', 'Strong ball recovery activity', 'Direct attacking profile']",['No clear major weakness from selected indicators'],,94.3,84.38,55.16,100.0
FIFA World Cup,2022,World Cup,World Cup_2022,Ghana,3,25,1248,989,412,149,143,27,71,95,3.35,79.03,5,1,0,2,5,7,-2,8.33,416.0,329.67,137.33,49.67,47.67,9.0,23.67,31.67,1.12,1.67,745.67,2.0,187.0,112.0,4.0,0.22,0.19,0.28,0.75,0.81,0.47,0.78,0.44,0.22,0.44,0.84,0.97,0.25,High Intensity / Pressing,Balanced Attack,Aggressive Pressing,"['High pressing intensity', 'Strong ball recovery activity']","['Low shot volume', 'Low possession volume']",,47.19,29.06,87.81,43.75
FIFA World Cup,2022,World Cup,World Cup_2022,Iran,3,33,1125,782,452,140,110,47,59,48,3.83,68.86,4,1,0,2,4,7,-3,11.0,375.0,260.67,150.67,46.67,36.67,15.67,19.67,16.0,1.28,1.33,635.67,2.93,197.33,88.0,5.17,0.48,0.06,0.03,0.94,0.59,0.62,0.7,0.03,0.06,0.91,0.94,0.62,0.5,Direct / Vertical,Direct Attack,Aggressive Pressing,"['High pressing intensity', 'Direct attacking profile']","['Low possession volume', 'Low passing accuracy']",,60.23,4.38,72.5,90.62
FIFA World Cup,2022,World Cup,World Cup_2022,Japan,4,48,1748,1270,692,168,152,51,100,106,7.38,75.79,5,2,1,1,5,4,1,12.0,437.0,317.5,173.0,42.0,38.0,12.75,25.0,26.5,1.85,1.25,754.5,2.75,215.0,102.25,5.91,0.67,0.31,0.19,1.0,0.28,0.84,0.61,0.19,0.28,0.84,1.0,0.94,0.72,Direct / Vertical,Direct Attack,Aggressive Pressing,"['Strong chance generation', 'High pressing intensity', 'Direct attacking profile']",['Low passing accuracy'],,73.36,23.75,76.25,84.38
FIFA World Cup,2022,World Cup,World Cup_2022,Mexico,3,41,1435,1099,382,147,116,39,47,57,3.06,76.99,2,1,1,1,2,3,-1,13.67,478.33,366.33,127.33,49.0,38.67,13.0,15.67,19.0,1.02,0.67,844.67,2.86,176.33,86.33,6.08,0.88,0.44,0.53,0.47,0.78,0.31,0.25,0.22,0.53,0.88,0.5,0.53,0.75,Direct / Vertical,Direct Attack,Recovery-Oriented,"['High shot volume', 'Strong ball recovery activity', 'Direct attacking profile']",['Low passing accuracy'],,46.56,40.0,59.53,87.5
FIFA World Cup,2022,World Cup,World Cup_2022,Morocco,7,66,2865,2283,1085,329,245,89,134,171,8.68,78.94,6,3,2,2,6,5,1,9.43,409.29,326.14,155.0,47.0,35.0,12.71,19.14,24.43,1.24,0.86,735.43,2.3,202.0,91.29,4.52,0.31,0.16,0.25,0.97,0.64,0.56,0.38,0.41,0.19,0.66,0.97,0.75,0.28,High Intensity / Pressing,Balanced Attack,Aggressive Pressing,['High pressing intensity'],['Low possession volume'],,44.06,25.94,79.38,65.62
FIFA World Cup,2022,World Cup,World Cup_2022,Netherlands,5,48,3005,2245,730,184,175,51,102,110,8.91,82.2,10,3,2,0,10,4,6,9.6,601.0,449.0,146.0,36.8,35.0,10.2,20.4,22.0,1.78,2.0,1050.0,1.6,182.8,87.6,4.91,0.34,0.72,0.66,0.91,0.06,0.81,0.83,0.62,0.72,0.16,0.69,0.59,0.44,Balanced / Mixed,Balanced Attack,Balanced Defense,['Strong chance generation'],['Limited ball recovery activity'],,67.58,67.19,46.72,15.62
FIFA World Cup,2022,World Cup,World Cup_2022,Poland,4,31,1524,1081,463,150,132,38,77,111,4.66,77.71,3,1,1,2,3,5,-2,7.75,381.0,270.25,115.75,37.5,33.0,9.5,19.25,27.75,1.17,0.75,651.25,2.03,153.25,89.5,3.8,0.16,0.09,0.09,0.22,0.09,0.5,0.33,0.28,0.09,0.47,0.16,0.69,0.19,Balanced / Mixed,Balanced Attack,Balanced Defense,['Balanced profile without one dominant strength'],"['Low shot volume', 'Low possession volume', 'Low pressing activity', 'Limited ball recovery activity']",,35.39,15.0,32.34,46.88
FIFA World Cup,2022,World Cup,World Cup_2022,Portugal,5,66,3129,2514,530,208,146,30,74,87,7.31,84.76,12,3,0,2,12,6,6,13.2,625.8,502.8,106.0,41.6,29.2,6.0,14.8,17.4,1.46,2.4,1128.6,2.11,147.6,67.4,6.16,0.84,0.78,0.78,0.09,0.25,0.69,0.97,0.84,0.75,0.56,0.12,0.12,0.84,Possession / Control,Possession-Based Attack,Balanced Defense,"['High shot volume', 'High possession volume', 'Strong passing accuracy']","['Low pressing activity', 'Limited ball recovery activity']",,80.47,80.0,16.25,56.25
FIFA World Cup,2022,World Cup,World Cup_2022,Qatar,3,20,1406,1097,375,122,84,27,40,56,1.41,81.06,1,0,0,3,1,7,-6,6.67,468.67,365.67,125.0,40.67,28.0,9.0,13.33,18.67,0.47,0.33,834.33,1.42,165.67,69.0,2.95,0.09,0.41,0.5,0.41,0.19,0.09,0.09,0.56,0.41,0.09,0.31,0.16,0.09,Balanced / Mixed,Balanced Attack,Balanced Defense,['Balanced profile without one dominant strength'],"['Limited chance generation', 'Low shot volume', 'Limited ball recovery activity']",,9.38,48.12,22.03,9.38
FIFA World Cup,2022,World Cup,World Cup_2022,Saudi Arabia,3,30,1190,867,393,158,113,41,58,76,3.2,71.05,3,1,0,2,3,5,-2,10.0,396.67,289.0,131.0,52.67,37.67,13.67,19.33,25.33,1.07,1.0,685.67,2.52,183.67,96.0,4.64,0.39,0.12,0.12,0.62,0.89,0.38,0.45,0.06,0.12,0.78,0.75,0.81,0.34,Direct / Vertical,Direct Attack,Aggressive Pressing,"['High pressing intensity', 'Strong ball recovery activity', 'Direct attacking profile']","['Low possession volume', 'Low passing accuracy']",,39.92,10.63,81.41,78.12
FIFA World Cup,2022,World Cup,World Cup_2022,Senegal,4,50,1696,1292,512,193,114,31,61,113,4.27,78.03,5,2,0,2,5,7,-2,12.5,424.0,323.0,128.0,48.25,28.5,7.75,15.25,28.25,1.07,1.25,747.0,2.95,176.25,79.75,5.64,0.75,0.22,0.22,0.52,0.75,0.41,0.61,0.31,0.25,0.94,0.47,0.34,0.69,Direct / Vertical,Direct Attack,Recovery-Oriented,"['High shot volume', 'Strong ball recovery activity', 'Direct attacking profile']",['Low possession volume'],,56.02,24.69,50.94,93.75
FIFA World Cup,2022,World Cup,World Cup_2022,Serbia,2,17,967,712,241,88,67,16,42,28,1.35,78.41,2,0,0,2,2,5,-3,8.5,483.5,356.0,120.5,44.0,33.5,8.0,21.0,14.0,0.68,1.0,839.5,1.76,164.5,76.5,3.81,0.25,0.5,0.44,0.31,0.41,0.16,0.45,0.38,0.44,0.22,0.25,0.25,0.22,Balanced / Mixed,Balanced Attack,Balanced Defense,['Balanced profile without one dominant strength'],"['Limited chance generation', 'Low shot volume', 'Low pressing activity']",,25.86,44.38,29.69,21.88
FIFA World Cup,2022,World Cup,World Cup_2022,South Korea,4,48,2011,1550,515,186,132,47,63,81,3.6,80.92,5,1,1,2,5,8,-3,12.0,502.75,387.5,128.75,46.5,33.0,11.75,15.75,20.25,0.9,1.25,890.25,2.39,175.25,80.75,5.34,0.67,0.56,0.56,0.56,0.56,0.25,0.61,0.53,0.56,0.72,0.44,0.38,0.59,Balanced / Mixed,Balanced Attack,Balanced Defense,['Balanced profile without one dominant strength'],['Limited chance generation'],,46.64,55.31,45.31,71.88
FIFA World Cup,2022,World Cup,World Cup_2022,Spain,4,51,3914,3258,445,189,108,37,55,35,7.1,90.12,9,1,2,1,9,3,6,12.75,978.5,814.5,111.25,47.25,27.0,9.25,13.75,8.75,1.78,2.25,1793.0,1.3,158.5,58.75,6.17,0.81,1.0,1.0,0.16,0.69,0.78,0.91,1.0,1.0,0.06,0.22,0.03,0.88,Possession / Control,High Chance Creation,Balanced Defense,"['Strong chance generation', 'High shot volume', 'High possession volume', 'Strong passing accuracy']",['Low pressing activity'],,82.19,100.0,29.37,6.25
FIFA World Cup,2022,World Cup,World Cup_2022,Switzerland,4,37,2035,1571,444,143,116,43,53,97,6.09,82.03,5,2,0,2,5,9,-4,9.25,508.75,392.75,111.0,35.75,29.0,10.75,13.25,24.25,1.52,1.25,901.5,1.82,146.75,77.25,4.61,0.28,0.59,0.59,0.12,0.03,0.72,0.61,0.59,0.59,0.31,0.09,0.31,0.31,Balanced / Mixed,Balanced Attack,Balanced Defense,['Balanced profile without one dominant strength'],"['Low pressing activity', 'Limited ball recovery activity']",,56.02,59.38,15.16,31.25
FIFA World Cup,2022,World Cup,World Cup_2022,Tunisia,3,32,1326,1014,361,178,143,33,69,102,2.41,75.27,1,1,1,1,1,1,0,10.67,442.0,338.0,120.33,59.33,47.67,11.0,23.0,34.0,0.8,0.33,780.0,2.41,179.67,115.67,4.75,0.44,0.34,0.38,0.28,1.0,0.22,0.09,0.16,0.34,0.75,0.53,1.0,0.38,Direct / Vertical,Direct Attack,High Defensive Activity,"['Strong ball recovery activity', 'Direct attacking profile']","['Limited chance generation', 'Low passing accuracy']",,25.31,29.69,83.59,75.0
FIFA World Cup,2022,World Cup,World Cup_2022,United States,4,46,2201,1836,537,210,136,40,73,82,3.94,82.77,3,1,2,1,3,4,-1,11.5,550.25,459.0,134.25,52.5,34.0,10.0,18.25,20.5,0.98,0.75,1009.25,2.09,186.75,82.75,5.19,0.53,0.66,0.72,0.66,0.84,0.28,0.33,0.66,0.66,0.53,0.81,0.47,0.53,High Intensity / Pressing,Balanced Attack,Aggressive Pressing,"['High pressing intensity', 'Strong ball recovery activity']",['No clear major weakness from selected indicators'],,36.8,67.5,70.16,53.12
