competition_name,season_name,competition_short,tournament_id,team,matches,shots,passes,carries,pressures,recoveries,duels,interceptions,blocks,clearances,xg,avg_pass_completion_pct,goals,wins,draws,losses,goals_for,goals_against,goal_difference,shots_per_match,passes_per_match,carries_per_match,pressures_per_match,recoveries_per_match,duels_per_match,interceptions_per_match,blocks_per_match,clearances_per_match,xg_per_match,goals_per_match,tempo,directness,pressing_intensity,defensive_activity,attacking_threat,shots_per_match_rank,passes_per_match_rank,carries_per_match_rank,pressures_per_match_rank,recoveries_per_match_rank,xg_per_match_rank,goals_per_match_rank,avg_pass_completion_pct_rank,tempo_rank,directness_rank,pressing_intensity_rank,defensive_activity_rank,attacking_threat_rank,general_style,offensive_style,defensive_style,strengths,weaknesses,most_used_formation,attack_score,build_up_score,defense_score,directness_score
UEFA Euro,2024,Euro,Euro_2024,Georgia,4,30,1425,1167,514,152,150,29,98,111,4.22,78.5,5,1,1,2,5,8,-3,7.5,356.25,291.75,128.5,38.0,37.5,7.25,24.5,27.75,1.05,1.25,648.0,2.11,166.5,97.0,3.63,0.12,0.12,0.21,0.21,0.38,0.33,0.75,0.29,0.17,0.21,0.12,0.96,0.12,Balanced / Mixed,Balanced Attack,High Defensive Activity,['Balanced profile without one dominant strength'],"['Low shot volume', 'Low possession volume', 'Low pressing activity']",,37.5,20.0,49.17,20.83
UEFA Euro,2024,Euro,Euro_2024,Germany,5,95,3401,2948,707,214,137,37,80,69,8.73,88.22,11,3,1,1,11,4,7,19.0,680.2,589.6,141.4,42.8,27.4,7.4,16.0,13.8,1.75,2.2,1269.8,2.79,184.2,64.6,8.65,0.98,0.96,0.96,0.42,0.79,0.88,1.0,1.0,0.96,0.71,0.46,0.12,0.96,Possession / Control,High Chance Creation,Recovery-Oriented,"['Strong chance generation', 'High shot volume', 'High possession volume', 'Strong passing accuracy', 'Strong ball recovery activity']",['No clear major weakness from selected indicators'],,93.75,97.08,44.17,70.83
UEFA Euro,2024,Euro,Euro_2024,Hungary,3,31,1225,861,529,106,115,24,62,76,3.33,76.5,2,1,0,2,2,5,-3,10.33,408.33,287.0,176.33,35.33,38.33,8.0,20.67,25.33,1.11,0.67,695.33,2.53,211.67,92.33,4.8,0.29,0.33,0.17,0.79,0.25,0.42,0.38,0.17,0.21,0.54,0.75,0.88,0.29,High Intensity / Pressing,Balanced Attack,Aggressive Pressing,['High pressing intensity'],"['Low passing accuracy', 'Limited ball recovery activity']",,36.88,23.33,64.38,54.17
UEFA Euro,2024,Euro,Euro_2024,Italy,3,28,1647,1310,522,125,72,21,47,42,1.85,84.06,1,0,1,2,1,4,-3,9.33,549.0,436.67,174.0,41.67,24.0,7.0,15.67,14.0,0.62,0.33,985.67,1.7,215.67,60.67,4.1,0.21,0.71,0.71,0.75,0.54,0.12,0.21,0.58,0.71,0.12,0.79,0.04,0.17,High Intensity / Pressing,Balanced Attack,Aggressive Pressing,['High pressing intensity'],"['Limited chance generation', 'Low shot volume']",,17.08,67.08,45.42,12.5
UEFA Euro,2024,Euro,Euro_2024,Netherlands,6,83,3116,2531,646,195,150,53,91,94,7.32,86.01,10,3,1,2,10,7,3,13.83,519.33,421.83,107.67,32.5,25.0,8.83,15.17,15.67,1.22,1.67,941.17,2.66,140.17,64.67,6.27,0.67,0.58,0.58,0.04,0.08,0.54,0.88,0.75,0.58,0.62,0.04,0.17,0.71,Balanced / Mixed,Balanced Attack,Balanced Defense,['Strong passing accuracy'],"['Low pressing activity', 'Limited ball recovery activity']",,66.25,63.33,9.79,62.5
UEFA Euro,2024,Euro,Euro_2024,Poland,3,37,1193,978,471,117,86,23,80,68,3.53,80.16,3,0,1,2,3,6,-3,12.33,397.67,326.0,157.0,39.0,28.67,7.67,26.67,22.67,1.18,1.0,723.67,3.1,196.0,85.67,5.64,0.46,0.25,0.33,0.5,0.48,0.5,0.56,0.38,0.38,0.88,0.58,0.62,0.46,Direct / Vertical,Direct Attack,Balanced Defense,['Direct attacking profile'],['Low possession volume'],,50.31,31.25,56.67,87.5
UEFA Euro,2024,Euro,Euro_2024,Portugal,5,95,3869,3297,646,271,144,35,103,83,14.71,87.84,5,2,2,1,5,3,2,19.0,773.8,659.4,129.2,54.2,28.8,7.0,20.6,16.6,2.94,1.0,1433.2,2.46,183.4,73.0,9.37,0.98,1.0,1.0,0.25,1.0,1.0,0.56,0.96,1.0,0.46,0.42,0.42,1.0,Possession / Control,High Chance Creation,Recovery-Oriented,"['Strong chance generation', 'High shot volume', 'High possession volume', 'Strong passing accuracy', 'Strong ball recovery activity']",['No clear major weakness from selected indicators'],,88.44,98.75,59.17,45.83
UEFA Euro,2024,Euro,Euro_2024,Romania,2,19,706,491,321,67,70,16,41,50,1.51,76.07,0,0,0,2,0,5,-5,9.5,353.0,245.5,160.5,33.5,35.0,8.0,20.5,25.0,0.76,0.0,598.5,2.69,194.0,88.5,4.25,0.25,0.08,0.08,0.56,0.21,0.21,0.1,0.12,0.08,0.67,0.54,0.81,0.21,Balanced / Mixed,Balanced Attack,High Defensive Activity,['Balanced profile without one dominant strength'],"['Limited chance generation', 'Low shot volume', 'Low possession volume', 'Low passing accuracy', 'Limited ball recovery activity']",,19.48,9.58,53.65,66.67
UEFA Euro,2024,Euro,Euro_2024,Scotland,3,17,1232,906,411,109,88,18,54,62,1.02,77.37,2,0,1,2,2,7,-5,5.67,410.67,302.0,137.0,36.33,29.33,6.0,18.0,20.67,0.34,0.67,712.67,1.38,173.33,74.0,2.47,0.04,0.38,0.25,0.33,0.33,0.08,0.38,0.21,0.29,0.08,0.29,0.46,0.04,Balanced / Mixed,Balanced Attack,Balanced Defense,['Balanced profile without one dominant strength'],"['Limited chance generation', 'Low shot volume', 'Low passing accuracy']",,14.37,28.75,36.25,8.33
UEFA Euro,2024,Euro,Euro_2024,Serbia,1,6,548,416,148,33,28,6,15,16,0.25,84.31,0,0,0,1,0,1,-1,6.0,548.0,416.0,148.0,33.0,28.0,6.0,15.0,16.0,0.25,0.0,964.0,1.09,181.0,65.0,2.55,0.08,0.67,0.54,0.46,0.15,0.04,0.1,0.67,0.67,0.04,0.33,0.23,0.08,Balanced / Mixed,Balanced Attack,Balanced Defense,['Balanced profile without one dominant strength'],"['Limited chance generation', 'Low shot volume', 'Limited ball recovery activity']",,6.98,62.92,24.06,4.17
UEFA Euro,2024,Euro,Euro_2024,Slovakia,2,23,913,727,379,107,67,25,50,51,2.26,77.63,2,1,0,1,2,2,0,11.5,456.5,363.5,189.5,53.5,33.5,12.5,25.0,25.5,1.13,1.0,820.0,2.52,243.0,96.5,5.28,0.33,0.42,0.42,0.92,0.96,0.46,0.56,0.25,0.42,0.5,0.96,0.92,0.33,High Intensity / Pressing,Balanced Attack,Aggressive Pressing,"['High pressing intensity', 'Strong ball recovery activity']",['Low passing accuracy'],,44.69,36.67,94.37,50.0
UEFA Euro,2024,Euro,Euro_2024,Slovenia,2,17,644,442,404,84,93,20,59,47,3.23,68.06,0,0,2,0,0,0,0,8.5,322.0,221.0,202.0,42.0,46.5,10.0,29.5,23.5,1.62,0.0,543.0,2.64,244.0,109.5,4.37,0.17,0.04,0.04,0.96,0.62,0.79,0.1,0.04,0.04,0.58,1.0,1.0,0.25,High Intensity / Pressing,Balanced Attack,Aggressive Pressing,"['Strong chance generation', 'High pressing intensity']","['Low shot volume', 'Low possession volume', 'Low passing accuracy']",,43.23,4.17,88.75,58.33
UEFA Euro,2024,Euro,Euro_2024,Spain,7,123,4334,3720,1126,313,194,48,131,113,10.56,87.49,15,7,0,0,15,4,11,17.57,619.14,531.43,160.86,44.71,27.71,6.86,18.71,16.14,1.51,2.14,1150.57,2.84,205.57,69.43,7.93,0.92,0.88,0.88,0.62,0.83,0.67,0.96,0.92,0.88,0.75,0.67,0.38,0.88,Possession / Control,Possession-Based Attack,Recovery-Oriented,"['High shot volume', 'High possession volume', 'Strong passing accuracy', 'Strong ball recovery activity', 'Direct attacking profile']",['No clear major weakness from selected indicators'],,81.46,88.75,61.46,75.0
UEFA Euro,2024,Euro,Euro_2024,Switzerland,5,62,2549,2111,825,195,148,39,111,104,8.48,83.44,8,2,3,0,8,4,4,12.4,509.8,422.2,165.0,39.0,29.6,7.8,22.2,20.8,1.7,1.6,932.0,2.43,204.0,80.4,5.98,0.5,0.5,0.62,0.71,0.48,0.83,0.81,0.54,0.5,0.38,0.62,0.54,0.62,Balanced / Mixed,Balanced Attack,Balanced Defense,['Strong chance generation'],['No clear major weakness from selected indicators'],,72.81,55.0,55.21,37.5
UEFA Euro,2024,Euro,Euro_2024,Turkey,5,72,2446,2014,629,211,185,45,98,106,6.46,83.03,8,3,0,2,8,8,0,14.4,489.2,402.8,125.8,42.2,37.0,9.0,19.6,21.2,1.29,1.6,892.0,2.94,168.0,86.8,6.54,0.79,0.46,0.46,0.12,0.71,0.58,0.81,0.5,0.46,0.83,0.17,0.75,0.75,Direct / Vertical,Direct Attack,High Defensive Activity,"['High shot volume', 'Direct attacking profile']",['Low pressing activity'],,70.31,47.08,53.33,83.33
UEFA Euro,2024,Euro,Euro_2024,Ukraine,1,14,401,308,211,29,33,13,17,21,0.71,84.29,0,0,1,0,0,0,0,14.0,401.0,308.0,211.0,29.0,33.0,13.0,17.0,21.0,0.71,0.0,709.0,3.49,240.0,84.0,6.03,0.71,0.29,0.29,1.0,0.04,0.17,0.1,0.62,0.25,0.96,0.92,0.58,0.67,Direct / Vertical,Direct Attack,Aggressive Pressing,"['High pressing intensity', 'Direct attacking profile']","['Limited chance generation', 'Limited ball recovery activity']",,31.35,39.17,53.75,95.83
