competition_name,season_name,competition_short,tournament_id,match_id,team,player,total_events,shots,passes,carries,pressures,recoveries,duels,interceptions,blocks,clearances,xg,completed_passes,pass_completion_pct
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Franck Yannick Kessié,134,1,39,36,7,3,1,2,0,0,0.015856586,38,97.43589743589743
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Ghislain Konan,230,0,72,62,12,5,6,2,1,1,0.0,59,81.94444444444444
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Ibrahim Sangaré,210,0,66,47,24,4,2,1,1,0,0.0,57,86.36363636363636
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Idrissa Doumbia,11,0,4,3,0,1,0,0,0,0,0.0,3,75.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Jean-Philippe Krasso,83,4,10,18,9,2,1,1,0,0,0.270901065,5,50.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Jeremie Boga,186,1,52,52,5,6,1,0,2,0,0.078778915,46,88.46153846153845
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Jonathan Bamba,103,0,28,27,5,1,1,0,0,0,0.0,21,75.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Karim Konaté,51,0,11,9,4,1,1,0,2,0,0.0,5,45.45454545454545
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Nicolas Pépé,50,1,10,11,3,2,1,0,0,0,0.09552963,9,90.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Obite Evan Ndicka,258,0,85,69,7,1,0,0,3,4,0.0,81,95.29411764705881
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Ousmane Diomande,193,0,65,54,7,7,1,0,2,1,0.0,61,93.84615384615384
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Seko Fofana,181,2,55,47,10,8,1,0,0,0,0.15435805,49,89.0909090909091
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Serge Aurier,90,0,31,25,2,2,1,0,1,1,0.0,27,87.09677419354838
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Wilfried Stephane Singo,98,1,29,27,5,0,2,2,0,1,0.09147192,24,82.75862068965517
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Willy Boly,40,0,12,10,3,0,1,1,0,1,0.0,11,91.66666666666666
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Côte d'Ivoire,Yahia Fofana,70,0,29,13,0,5,0,0,0,0,0.0,21,72.41379310344827
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,Alfa Semedo Esteves,175,1,41,38,25,3,3,3,1,2,0.008890905,34,82.92682926829268
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,Carlos Manuel Cardoso Mané,82,0,19,19,11,2,2,0,1,0,0.0,13,68.42105263157895
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,Carlos Mendes Gomes,53,0,13,11,6,1,1,0,1,0,0.0,10,76.92307692307693
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,Euciodálcio Gomes,37,1,9,9,2,0,0,0,0,0,0.025599334,9,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,Fali Candé,113,1,37,24,9,2,1,1,1,2,0.0066638533,32,86.48648648648648
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,Franculino Gluda Djú,50,1,9,10,9,1,0,0,1,0,0.13984856,7,77.77777777777779
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,Janio Bikel Figueiredo Silva,110,0,35,22,12,6,2,0,0,0,0.0,32,91.42857142857143
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,Jefferson Anilson Silva Encada,156,1,51,35,16,6,4,2,4,2,0.007398194,43,84.31372549019608
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,José Correia,30,3,5,7,1,2,0,1,0,0,0.13310144599999998,4,80.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,Mama Samba Baldé,101,1,17,19,13,1,4,1,3,1,0.15778367,16,94.11764705882352
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,Marcelo Amado Djaló Taritolay,125,0,41,30,8,0,3,1,1,5,0.0,38,92.6829268292683
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,Mauro Daniel Rodrigues Teixeira,106,0,24,21,12,0,1,3,1,0,0.0,17,70.83333333333334
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,Moreto Moro Cassamã,92,0,24,21,7,4,1,0,0,0,0.0,21,87.5
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,Opa Sangante,150,1,44,28,14,3,4,3,2,5,0.050328754,35,79.54545454545455
African Cup of Nations,2023,AFCON,AFCON_2023,3920384,Guinea-Bissau,Ouparine Djoco,59,0,25,7,0,5,0,0,0,0,0.0,17,68.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Ahmed Elsayed Ali Elsayed Hegazy,171,1,56,43,5,2,4,2,0,2,0.14846241,54,96.42857142857143
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Ahmed Hassan Mahgoub,10,0,1,1,2,0,0,0,0,0,0.0,1,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Ahmed Sayed,199,4,60,53,10,9,0,2,0,0,0.1872256494,44,73.33333333333333
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Emam Ashour Metwally Abdelghany,62,1,17,17,3,0,0,1,1,1,0.01515347,13,76.47058823529412
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Hamdi Fathi,225,3,62,52,27,3,3,2,0,1,0.100147341,61,98.38709677419355
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Mahmoud Ibrahim Hassan,103,1,25,22,11,1,0,1,0,0,0.13469829,21,84.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Mohamed Abdelmonem,276,3,88,74,10,4,7,1,2,1,0.079747351,87,98.86363636363636
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Mohamed El Sayed Mohamed El Shenawy Gomaa,48,0,18,9,0,3,0,0,0,0,0.0,18,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Mohamed Hamdy Sharaf,202,0,70,52,6,5,4,1,0,2,0.0,58,82.85714285714286
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Mohamed Hany Gamal Eldemerdash,127,1,43,33,4,3,0,1,1,1,0.01963553,31,72.09302325581395
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Mohamed Naser Elsayed Elneny,163,0,51,43,16,5,1,0,2,0,0.0,47,92.15686274509804
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Mohamed Salah,173,4,39,39,24,10,1,0,0,0,0.934787797,32,82.05128205128204
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Mostafa Mohamed Ahmed Abdallah,113,3,21,23,11,5,4,0,1,1,0.264524274,17,80.95238095238095
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Omar Kamal Abdel Wahed,88,0,27,21,5,5,1,0,2,3,0.0,21,77.77777777777779
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Egypt,Omar Marmoush,58,1,11,15,7,4,0,0,0,0,0.044817682,7,63.63636363636363
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Alfons Amade,132,0,38,32,19,2,1,2,1,2,0.0,30,78.94736842105263
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Amade Momade,32,0,9,8,3,2,0,0,0,1,0.0,8,88.88888888888889
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Bruno Alberto Langa,51,1,15,11,3,0,1,1,2,1,0.035161376,11,73.33333333333333
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Clésio Bauque,80,1,11,19,9,4,2,1,0,1,0.3828133,7,63.63636363636363
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Domingos João Macandza,102,1,28,24,7,0,1,1,0,3,0.019973995,26,92.85714285714286
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Edmilson Gabriel Dove,143,0,43,38,9,1,2,1,2,8,0.0,36,83.72093023255815
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Edson André Sitoe,156,0,49,38,5,5,1,0,2,14,0.0,45,91.83673469387756
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Elias Gaspar Pelembe,81,0,21,20,4,1,0,0,0,0,0.0,14,66.66666666666666
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Ernan Alberto Siluane,82,0,31,11,0,3,0,0,1,0,0.0,25,80.64516129032258
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Feliciano João Jone,14,0,3,3,2,0,2,0,2,0,0.0,3,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Gildo Lourenço Vilanculos,78,1,16,18,10,1,0,0,4,0,0.04846777,9,56.25
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Pachoio Lau Há King,30,0,6,5,3,0,1,0,0,1,0.0,6,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Reinildo Isnard Mandava,115,0,36,28,6,1,2,4,3,6,0.0,33,91.66666666666666
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Ricardo Martins Guimarães,160,0,37,36,33,3,3,1,2,1,0.0,35,94.5945945945946
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Stanley Ratifo,70,0,9,12,15,3,1,0,0,1,0.0,6,66.66666666666666
African Cup of Nations,2023,AFCON,AFCON_2023,3920385,Mozambique,Witiness Chimoio João Quembo,112,2,21,26,12,5,2,0,1,1,0.24178206,15,71.42857142857143
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Deroy Duarte,68,0,18,15,7,1,2,2,1,0,0.0,17,94.44444444444444
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Garry Mendes Rodrigues,61,3,8,13,8,1,3,0,2,0,1.2324127969999998,8,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Gilson Benchimol Tavares,23,0,1,1,4,0,1,0,0,0,0.0,1,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Jamiro Gregory Monteiro Alvarenga,133,2,32,26,13,2,0,1,2,0,0.5567087119999999,23,71.875
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Josimar José Évora Dias,86,0,32,18,0,5,0,0,0,0,0.0,22,68.75
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Jovane Eduardo Borges Cabral,115,3,20,25,14,2,2,1,3,0,0.477732964,15,75.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,João Paulo Moreira Fernandes,135,0,43,32,8,4,1,1,2,3,0.0,36,83.72093023255815
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Kenny Rocha Santos,43,0,12,8,5,3,2,0,0,1,0.0,7,58.333333333333336
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Kevin Lenini Gonçalves Pereira de Pina,151,1,42,35,15,3,5,2,2,2,0.03539321,40,95.23809523809523
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Laros Duarte,8,0,5,1,0,0,0,0,0,0,0.0,3,60.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Logan Costa,153,0,58,34,7,4,2,1,1,6,0.0,50,86.20689655172413
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Roberto Lopes,153,0,51,37,6,3,1,1,4,4,0.0,42,82.35294117647058
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Ryan Isaac Mendes da Graça,108,0,26,22,9,2,1,0,1,0,0.0,18,69.23076923076923
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Steven Moreira,150,0,49,31,17,2,4,0,1,1,0.0,44,89.79591836734694
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Tiago Manuel Dias Correia,83,5,13,17,4,2,0,0,1,0,0.38142240699999996,10,76.92307692307693
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Cape Verde Islands,Willy Afonso Semedo Johnson,34,1,7,5,5,0,0,0,1,0,0.036544055,5,71.42857142857143
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Alexander Djiku,144,1,46,32,11,3,2,2,3,5,0.09743535,34,73.91304347826086
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,André Ayew Pelé,43,0,10,7,6,2,3,0,0,1,0.0,8,80.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Antoine Semenyo,75,0,9,12,17,0,4,0,1,0,0.0,5,55.55555555555556
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Denis Odoi,128,0,40,23,17,4,4,1,1,0,0.0,33,82.5
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Ernest Appiah Nuamah,56,2,10,12,8,2,1,1,0,0,0.077158664,7,70.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Gideon Mensah,202,0,63,44,17,2,7,4,4,3,0.0,46,73.01587301587301
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Iddrisu Baba Mohammed,143,1,45,32,18,6,1,3,1,0,0.043636464,37,82.22222222222221
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Iñaki Williams Arthuer,37,1,6,6,3,2,1,0,0,0,0.09735427,5,83.33333333333334
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Jordan Ayew,140,1,24,28,26,3,3,1,0,0,0.019494837,22,91.66666666666666
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Joseph Paintsil,84,1,11,18,17,4,4,0,1,0,0.29253393,7,63.63636363636363
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Majeed Ashimeru,115,1,33,25,15,3,0,2,2,0,0.035000443,26,78.78787878787878
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Mohamed Salisu,169,0,55,42,6,4,2,2,3,4,0.0,46,83.63636363636363
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Osman Bukari,9,0,2,2,0,0,0,0,0,0,0.0,1,50.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Ransford Königsdörffer,75,3,5,12,22,3,1,0,3,0,0.7753289839999999,5,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Richard Ofori Antwi,52,0,19,6,1,1,0,0,0,0,0.0,14,73.68421052631578
African Cup of Nations,2023,AFCON,AFCON_2023,3920387,Ghana,Salis Abdul Samed,26,0,8,6,1,1,0,0,0,0,0.0,8,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Abdulia Sanyang,22,0,3,5,4,0,0,0,0,0,0.0,1,33.33333333333333
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Alasana Manneh,96,1,29,23,8,8,2,1,1,1,0.026530396,24,82.75862068965517
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Ali Sowe,76,2,13,11,9,2,3,0,2,0,0.53979137,12,92.3076923076923
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Alieu Fadera,22,0,2,3,7,0,1,0,0,0,0.0,2,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Assan Ceesay,30,0,6,6,2,0,0,0,2,1,0.0,5,83.33333333333334
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Baboucarr Gaye,59,0,24,9,0,4,0,0,0,0,0.0,13,54.166666666666664
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Ebou Adams,48,0,12,8,9,2,0,0,2,1,0.0,7,58.333333333333336
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Ebrima Darboe,121,0,27,24,23,2,6,0,0,2,0.0,20,74.07407407407408
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Hamza Barry,26,0,7,3,9,0,0,1,0,0,0.0,5,71.42857142857143
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Ibou Touray,70,0,25,12,7,0,1,0,1,3,0.0,16,64.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,James Gomez,88,0,28,20,4,2,1,1,2,3,0.0,23,82.14285714285714
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Muhammed Badamosi,28,3,3,3,8,2,0,0,0,0,0.158615086,2,66.66666666666666
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Musa Barrow,144,3,36,36,7,8,1,0,1,1,0.084955468,29,80.55555555555556
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Omar Colley,104,2,26,21,7,2,3,3,4,6,0.17653805,22,84.61538461538461
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Saidy Janko,76,0,27,13,9,8,3,2,2,2,0.0,22,81.48148148148148
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Gambia,Yankuba Minteh,125,1,23,26,15,1,3,0,2,0,0.021965088,15,65.21739130434783
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Abdou Diallo,163,0,52,40,12,2,3,0,1,0,0.0,49,94.23076923076923
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Abdoulaye Seck,22,1,7,6,1,0,0,0,0,0,0.08795446,6,85.71428571428571
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Edouard Mendy,78,0,32,13,0,7,0,0,0,1,0.0,30,93.75
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Habibou Mouhamadou Diallo,76,2,7,11,12,2,2,1,1,0,0.66791216,6,85.71428571428571
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Iliman Ndiaye,35,0,8,10,3,2,1,0,0,0,0.0,8,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Ismail Jakobs,155,1,53,33,11,2,3,1,1,2,0.059199773,34,64.15094339622641
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Ismaïla Sarr,123,2,21,29,11,1,2,0,0,0,0.410606364,16,76.19047619047619
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Kalidou Koulibaly,231,1,76,63,7,2,6,1,1,1,0.006635714,69,90.78947368421053
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Krépin Diatta,178,1,63,46,6,3,4,0,0,0,0.034052484,54,85.71428571428571
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Lamine Camara,248,2,83,62,16,5,1,0,0,1,0.161283848,72,86.74698795180723
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Moussa Niakhate,196,0,62,45,13,3,3,1,5,1,0.0,58,93.54838709677419
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Nampalys Mendy,33,1,10,8,3,0,1,0,0,0,0.044888977,9,90.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Nicolas Jackson,25,1,2,4,5,0,0,0,0,0,0.07443612,2,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Pape Gueye,154,2,48,35,8,3,3,0,0,0,0.17368129999999998,38,79.16666666666666
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Pathé Ismaël Ciss,82,0,25,19,10,0,3,0,0,2,0.0,24,96.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920388,Senegal,Sadio Mané,180,0,45,45,11,2,0,1,1,0,0.0,37,82.22222222222221
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Adam Ounas,88,0,19,21,3,1,0,0,0,0,0.0,11,57.89473684210527
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Anthony Louis Mandréa,52,0,19,9,0,3,0,0,0,0,0.0,14,73.68421052631578
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Aïssa Mandi,173,0,60,46,1,5,0,0,3,2,0.0,58,96.66666666666667
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Baghdad Bounedjah,79,2,10,8,12,0,2,0,1,0,0.21027200000000001,5,50.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Fares Chaïbi,144,2,49,34,12,1,1,0,1,0,0.10158847,37,75.51020408163265
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Houssem Aouar,34,0,10,11,2,0,1,0,0,0,0.0,8,80.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Islam Slimani,26,1,6,1,4,1,0,0,0,0,0.038674295,3,50.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Ismael Bennacer,143,1,43,36,10,2,2,0,1,0,0.03930074,35,81.3953488372093
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Kévin Daniel Van Den Kerkhof,33,2,13,6,0,1,0,1,0,0,0.068613725,9,69.23076923076923
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Mohamed Youcef Belaïli,207,4,53,45,8,3,5,0,1,0,0.142363624,42,79.24528301886792
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Nabil Bentaleb,143,0,46,33,11,1,3,1,1,0,0.0,39,84.78260869565217
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Ramiz Larbi Zerrouki,94,0,29,22,9,2,3,1,0,0,0.0,24,82.75862068965517
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Ramy Bensebaini,195,0,73,51,2,7,2,2,1,2,0.0,62,84.93150684931507
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Rayan Aït Nouri,242,2,75,63,12,6,3,1,1,1,0.042251048,68,90.66666666666666
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Riyad Mahrez,135,1,39,32,8,4,3,0,0,0,0.045389127,32,82.05128205128204
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Algeria,Youcef Atal,141,1,45,35,7,3,2,1,0,1,0.008476382,42,93.33333333333333
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Adilson Cipriano da Cruz,69,0,31,9,0,6,0,0,0,0,0.0,22,70.96774193548387
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Alfredo Kulembe Ribeiro,138,1,35,25,31,7,2,0,2,2,0.19408825,28,80.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Ambrosini Antonio Cabaça Salvador,18,0,2,2,5,0,1,0,1,1,0.0,2,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Bruno Lourenço Pinto de Almeida Paz,36,0,8,7,6,1,2,0,1,0,0.0,5,62.5
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Cristóvão Paciência Mabululo,64,2,9,9,19,1,2,0,0,0,0.807390242,7,77.77777777777779
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Eddie Marcos Melo Afonso,23,0,7,3,2,1,2,1,3,1,0.0,3,42.857142857142854
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Felicio Mendes Joao Milson,45,0,8,8,7,3,1,0,1,0,0.0,4,50.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Jacinto Muondo Dala,78,2,11,16,10,1,2,0,0,0,0.146634544,5,45.45454545454545
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Joaquim Marcos Cunga Balanga,103,0,34,22,2,1,2,0,1,8,0.0,25,73.52941176470588
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Jonathan Buatu Mananga,98,0,29,16,15,3,4,1,5,4,0.0,18,62.06896551724138
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Kialonda Gaspar,69,1,21,15,1,0,1,2,2,6,0.009535793,18,85.71428571428571
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Loide António Augusto,123,1,28,25,18,4,0,2,2,2,0.039816648,23,82.14285714285714
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Manuel Keliano,10,0,0,0,7,0,0,0,0,0,0.0,0,0.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Manuel Luís da Silva Cafumana,126,0,32,25,25,2,4,5,0,1,0.0,26,81.25
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Núrio Domingos Matias Fortuna,108,0,24,20,22,7,1,2,4,1,0.0,18,75.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920390,Angola,Zito André Sebastião Luvumbo,100,0,17,16,19,2,2,0,0,0,0.0,10,58.82352941176471
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,Mali,Aboubacar Traoré,10,1,1,2,3,0,1,0,0,0,0.006498541,1,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,Mali,Aliou Dieng,149,2,39,34,16,3,4,2,6,1,0.034495399,39,100.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,Mali,Amadou Haïdara,141,3,38,29,12,3,6,2,4,0,0.483597917,33,86.8421052631579
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,Mali,Boubakar Kouyate,172,0,52,45,8,2,4,1,2,9,0.0,47,90.38461538461539
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,Mali,Djigui Diarra,68,0,28,13,0,2,0,0,0,0,0.0,14,50.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,Mali,Falaye Sacko,150,0,52,33,16,4,0,3,2,1,0.0,38,73.07692307692307
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,Mali,Fousseni Diabaté,34,0,8,3,12,2,1,0,0,0,0.0,6,75.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,Mali,Hamari Traoré,150,1,45,32,15,7,2,2,2,1,0.8849754,36,80.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,Mali,Ibrahim Sissoko,7,0,1,0,2,0,0,0,0,0,0.0,0,0.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,Mali,Kamory Doumbia,160,4,34,27,35,8,6,0,2,0,0.17557984499999998,24,70.58823529411765
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,Mali,Lassana Coulibaly,44,0,11,9,7,0,3,0,1,0,0.0,8,72.72727272727273
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,Mali,Lassine Sinayoko,137,2,25,18,22,5,5,0,2,0,0.6352335,16,64.0
African Cup of Nations,2023,AFCON,AFCON_2023,3920391,Mali,Nene Dorgeles,17,0,4,3,1,0,0,0,1,0,0.0,2,50.0
